t,event,slug,data
1.0167,item_spawned,pouf,"{""zone_true"": ""C""}"
6.35,item_detected,pouf,
6.8333,item_classified,pouf,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 3, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [441.7, 412.3, 264.0], ""reason"": ""oversize (guard band 6 mm)"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
6.8333,escapement_release,pouf,"{""carrier"": 3, ""zone"": ""C"", ""t_land_est"": 7.705, ""len_m"": 0.442, ""bias"": -0.05}"
7.8333,induction_landed,pouf,"{""carrier"": 3, ""offset_m"": -0.0766}"
7.8333,routing_cmd,pouf,"{""zone"": ""C"", ""carrier"": 3}"
8.0,tilt_cmd,pouf,"{""carrier"": 3, ""station"": ""C"", ""target_deg"": 38.04}"
8.45,tilt_full,pouf,"{""carrier"": 3, ""tilt_ms"": 450.0}"
8.55,item_spawned,pen,"{""zone_true"": ""C""}"
8.8,item_delivered,pouf,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.57, 2.48, 0.407]}"
13.9,item_detected,pen,
14.3833,item_classified,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [146.3, 13.5, 8.7], ""reason"": ""undersize: dim 8.7 mm below certification floor 10.8 mm [macro head: 4 reads, floor 10.8 mm]"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
15.15,escapement_release,pen,"{""carrier"": 5, ""zone"": ""C"", ""t_land_est"": 16.105, ""len_m"": 0.146, ""bias"": 0.0}"
15.9167,induction_landed,pen,"{""carrier"": 5, ""offset_m"": 0.0095}"
15.9167,routing_cmd,pen,"{""zone"": ""C"", ""carrier"": 5}"
16.0833,tilt_cmd,pen,"{""carrier"": 5, ""station"": ""C"", ""target_deg"": 32.5}"
16.1333,item_spawned,bottle,"{""zone_true"": ""D""}"
16.7333,tilt_full,pen,"{""carrier"": 5, ""tilt_ms"": 650.0}"
17.3333,item_delivered,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.607, 2.468, 0.226]}"
21.5,item_detected,bottle,
21.9833,item_classified,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [295.3, 100.1, 86.4], ""reason"": ""circle evidence: circ=0.41 sect=0.92 dome=0.72 flank=24.9mm elong=3.4 h/w=1.16"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
22.4,item_spawned,helmet,"{""zone_true"": ""D""}"
22.5333,escapement_release,bottle,"{""carrier"": 8, ""zone"": ""D"", ""t_land_est"": 23.305, ""len_m"": 0.295, ""bias"": 0.0}"
23.4,induction_landed,bottle,"{""carrier"": 8, ""offset_m"": -0.1275}"
23.4,routing_cmd,bottle,"{""zone"": ""D"", ""carrier"": 8}"
26.1167,tilt_cmd,bottle,"{""carrier"": 8, ""station"": ""D"", ""target_deg"": 37.94}"
26.5667,tilt_full,bottle,"{""carrier"": 8, ""tilt_ms"": 450.0}"
27.0167,item_delivered,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.811, 2.472, 0.264]}"
27.6833,item_detected,helmet,
28.1667,item_classified,helmet,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 4, ""confidence"": 0.25, ""sensor_miss"": false, ""dims_mm"": [343.8, 278.8, 261.1], ""reason"": ""circle evidence: circ=0.79 sect=0.00 dome=0.52 flank=98.0mm elong=1.3 h/w=1.02"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
28.45,escapement_release,helmet,"{""carrier"": 3, ""zone"": ""D"", ""t_land_est"": 29.305, ""len_m"": 0.344, ""bias"": -0.05}"
29.3167,item_spawned,lunchbox,"{""zone_true"": ""B""}"
29.3333,induction_landed,helmet,"{""carrier"": 3, ""offset_m"": -0.0897}"
29.3333,routing_cmd,helmet,"{""zone"": ""D"", ""carrier"": 3}"
32.0333,tilt_cmd,helmet,"{""carrier"": 3, ""station"": ""D"", ""target_deg"": 38.38}"
32.4833,tilt_full,helmet,"{""carrier"": 3, ""tilt_ms"": 450.0}"
32.8,item_delivered,helmet,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.706, 2.493, 0.443]}"
34.6667,item_detected,lunchbox,
